text,label
The headlights are not turning on,electrical
My car horn has stopped working,electrical
The central locking is not responding,electrical
Can you diagnose an electrical fault in my vehicle,electrical
The interior lights stay on after I lock the car,electrical
My windscreen wipers move very slowly,electrical
The radio keeps turning off by itself,electrical
The fuse blows whenever I use the accessory socket,electrical
My indicators are flashing too quickly,electrical
The rear lights are not working,electrical
The electric mirrors cannot be adjusted,electrical
My car alarm goes off without a reason,electrical
The starter motor does not engage,electrical
The dashboard is completely blank,electrical
Can you repair the electric window on the driver side,electrical
The headlights dim when I use the brakes,electrical
My charging socket is not working,electrical
The parking sensors have stopped beeping,electrical
There is a burning smell near the fuse box,electrical
My car remote key is not locking the doors,electrical
The engine fan stays on after the car is switched off,electrical
The battery drains when the car is parked,electrical
Can you test the alternator output,electrical
The brake lights remain on all the time,electrical
My reverse lights do not come on,electrical
The infotainment screen is frozen,electrical
I need wiring checked after water entered the car,electrical
The car will not start because of an electrical issue,electrical
Could you test my battery before I replace it,battery
My battery is dead again after being charged yesterday,battery
The starter turns very slowly when I start the car,battery
I found corrosion on the positive battery connection,battery
Is the battery strong enough for winter driving,battery
My car loses all power after sitting for two days,battery
The battery warning symbol appears briefly at startup,battery
Can you fit a new battery to my family car,battery
The battery terminal keeps coming loose,battery
I need a battery health check for my used car,battery
The engine will not crank after the car sat overnight,battery
Why does my battery keep going flat while parked,battery
The battery case has a crack near the top,battery
My vehicle needs a jump whenever it rains,battery
Can you measure the cold cranking power of the battery,battery
The battery is more than five years old and feels weak,battery
My car starts fine once but not a second time,battery
The battery light flickers at idle,battery
I need advice about the correct battery capacity,battery
Please clean and tighten the battery connections,battery
The engine turns over slowly even with a charged battery,battery
My battery drained after I used the interior lights,battery
Can a loose battery earth cause starting trouble,battery
The car battery smells unusual and looks damaged,battery
I would like a mobile battery replacement,battery
The battery does not seem to accept a charge,battery
My car has needed three jump starts this month,battery
Could an old battery explain the clicking noise,battery
The battery voltage seems low on my dashboard meter,battery
Please inspect the battery and charging system together,battery
My vehicle goes completely dead after short journeys,battery
The battery terminals are covered in blue residue,battery
How can I protect the battery from draining overnight,battery
The battery was flat after a weekend at the airport,battery
My car struggles to start after using the heated seats,battery
I want to know if my battery is still reliable,battery
The battery warning light does not switch off,battery
Can you supply and install the correct battery,battery
The engine only starts after several jump leads are connected,battery
My battery has gone flat in cold weather,battery
Does my start stop system need a special battery,battery
The battery clamp looks broken and is not secure,battery
I hear a click and then lose power when starting,battery
The car battery was drained by a faulty interior light,battery
Please check for a parasitic drain on my battery,battery
My battery is leaking fluid near the bottom,battery
The headlights dim whenever I turn the key,battery
Is my battery too weak to run the car alarm,battery
I need roadside assistance because my battery has failed,battery
Can you test the battery under electrical load,battery
My replacement battery does not fit the tray,battery
The car starts after charging but fails the next morning,battery
What signs show that a battery is reaching the end,battery
There is rust around the battery retaining bracket,battery
My battery gives off a sulphur smell,battery
The vehicle has no power after a long period unused,battery
I need a battery check before selling my car,battery
The battery indicator appeared after fitting new lights,battery
Can a weak battery affect the automatic gearbox,battery
The starter clicks repeatedly when the battery is low,battery
My battery has been discharged by a dash camera,battery
Please check whether the battery terminals are connected correctly,battery
The car will not restart after I stopped for fuel,battery
How much reserve capacity should my new battery have,battery
The battery is losing power despite a recent recharge,battery
Can you replace a battery in a parked vehicle,battery
My vehicle is difficult to start after a short stop,battery
The battery warning appeared with the headlights on,battery
I want a professional battery diagnosis,battery
The battery is completely flat and the doors will not unlock,battery
My car needs a stronger battery for its accessories,battery
The brake pedal pulses when I slow down from high speed,brakes
My car squeaks when reversing and braking,brakes
The front brake pads look almost completely worn,brakes
I can hear metal scraping from the left front wheel,brakes
The brake fluid level drops every few weeks,brakes
My car veers right when I apply the brakes,brakes
The brakes are noisy after rain and feel rough,brakes
Can you inspect my brake rotors for damage,brakes
The pedal feels spongy after the brakes were serviced,brakes
My vehicle needs more distance to stop than before,brakes
The ABS warning appeared during my commute,brakes
There is a hot smell from one of the front wheels,brakes
I need the brake calipers checked for sticking,brakes
The rear brakes squeal whenever I park,brakes
My car shakes strongly during motorway braking,brakes
Please replace the brake discs and pads if necessary,brakes
The parking brake lever comes up too far,brakes
The brakes make a low grinding hum at slow speed,brakes
Can worn brakes cause the steering wheel to vibrate,brakes
The vehicle does not stop evenly on both sides,brakes
I see a dark line on one brake disc,brakes
The brake light remains lit after releasing the handbrake,brakes
My brake pedal sinks when I keep pressure on it,brakes
Can you check my brake fluid for contamination,brakes
The car makes a thud each time I brake,brakes
The brakes feel unusually sharp and grabby,brakes
I need new brake shoes for the rear axle,brakes
My front wheel is much hotter than the other one,brakes
There is a squeal from the brakes only at low speed,brakes
How soon should I replace these brake pads,brakes
The brake warning came on after a steep downhill drive,brakes
My brake pedal vibrates through my foot,brakes
Please carry out a full brake safety inspection,brakes
The car rolls forward even with the pedal pressed,brakes
I hear a rubbing sound whenever the brake is applied,brakes
The brake discs have visible grooves across them,brakes
My handbrake does not release properly,brakes
The vehicle stops better when the brakes are cold,brakes
Can you check why the rear brakes are wearing unevenly,brakes
The ABS activates on dry roads without warning,brakes
My brakes smell burnt after a normal journey,brakes
I need emergency help because my brake pedal went soft,brakes
The brake pedal feels normal but the car pulls left,brakes
There is a small leak behind the brake wheel,brakes
Do brake pads need bedding in after replacement,brakes
The brake light and ABS light came on together,brakes
My brakes squeak after new pads were installed,brakes
The car judders when braking from a hill,brakes
Please check the brake hoses for cracks,brakes
My rear wheels seem to lock before the front ones,brakes
The brake pedal is hard first thing in the morning,brakes
Can you service the brakes on my delivery van,brakes
The brake discs look blue from heat,brakes
I feel a vibration through the seat when braking,brakes
My brake pads have worn down much faster on one side,brakes
How much is a complete brake fluid change,brakes
The parking brake warning stays on while driving,brakes
The brakes click when I release the pedal,brakes
My vehicle started squealing after a wheel change,brakes
I want the brakes checked before a long motorway trip,brakes
One brake caliper seems to be sticking,brakes
The pedal travel has become longer over the past month,brakes
Can you tell if the brake rotors need machining,brakes
The brake system feels weak when the car is loaded,brakes
My car makes a harsh scrape during emergency stops,brakes
Please inspect the brake master cylinder,brakes
The brake pedal is firm but stopping power is poor,brakes
I need a quote for front and rear brake work,brakes
The brakes squeal only when turning left,brakes
My car has a warning for low brake fluid,brakes
The engine temperature rises in slow traffic,overheating
Steam appeared beside the radiator,overheating
My coolant disappears between journeys,overheating
The fan does not start when the engine gets hot,overheating
There is a sweet smell under the bonnet,overheating
Can you pressure test my cooling system,overheating
The temperature needle enters the red on hills,overheating
My radiator hose is wet after driving,overheating
The car runs hot when the air conditioning is on,overheating
I found a coolant puddle beneath the front bumper,overheating
The engine overheats only at traffic lights,overheating
Please inspect the thermostat for failure,overheating
My coolant reservoir keeps emptying,overheating
The radiator fan runs but the engine remains hot,overheating
I saw bubbles inside the expansion tank,overheating
The bonnet is steaming after a short trip,overheating
Can a faulty water pump make the engine overheat,overheating
My temperature warning comes on during motorway trips,overheating
The cooling system makes a hissing sound,overheating
I need a radiator leak repaired,overheating
The engine became hot after towing a trailer,overheating
My coolant is leaking around the thermostat housing,overheating
The gauge suddenly jumps from cold to hot,overheating
Please check the radiator cap for a leak,overheating
The car overheats after five minutes of idling,overheating
There is dried coolant around the reservoir,overheating
The heater blows cold while the temperature gauge rises,overheating
Can you flush the cooling system,overheating
My vehicle loses coolant while driving,overheating
The cooling fan fuse may have failed,overheating
The radiator looks blocked,overheating
My car runs hot after a thermostat replacement,overheating
I smell coolant inside the cabin,overheating
The temperature goes up on steep roads,overheating
Can an airlock cause this overheating,overheating
The water pump area is wet,overheating
My engine overheated and now will not start,overheating
The coolant warning returns even after topping up,overheating
My radiator fan starts too late,overheating
The engine temperature is normal at speed but high at idle,overheating
Please check for a hidden coolant leak,overheating
The radiator is damp along its upper edge,overheating
My car overheats whenever I use the heater,overheating
The fan stays on long after I park,overheating
I need urgent help with an overheating vehicle,overheating
The temperature warning disappears after restarting,overheating
Coolant sprayed across my engine bay,overheating
The engine is hot despite having enough coolant,overheating
Can you inspect the cooling hoses for cracks,overheating
My vehicle overheats in stop and go traffic,overheating
The radiator makes a bubbling noise,overheating
The coolant has turned a rusty brown colour,overheating
I found water beneath the water pump,overheating
The car gets hot after a long queue,overheating
Please check why the radiator fan is noisy,overheating
The temperature rises whenever I climb a hill,overheating
My cooling warning light flickers on corners,overheating
The engine overheated after a coolant change,overheating
There is steam from the radiator grille,overheating
Can you refill and bleed the coolant system,overheating
My car loses coolant but leaves no puddle,overheating
The temperature needle keeps fluctuating,overheating
I need the head gasket checked for coolant loss,overheating
The cooling fan will not switch off,overheating
My engine runs hot only in warm weather,overheating
Please inspect the radiator for internal corrosion,overheating
The air conditioner blows warm air,ac
My AC stops cooling when I am stationary,ac
There is a musty smell from the vents,ac
Can you check for an air conditioning gas leak,ac
The blower fan works on only one speed,ac
My compressor makes a clicking noise,ac
The cabin takes too long to become cool,ac
Water is collecting inside the passenger footwell,ac
The AC belt squeals when cooling starts,ac
My vents have weak airflow,ac
Please replace the cabin air filter,ac
The AC is cold at night but warm during the day,ac
I hear hissing behind the dashboard,ac
Can you test the condenser fan,ac
The climate control panel is not responding,ac
My car air conditioning smells like damp clothes,ac
The compressor clutch does not engage,ac
AC refrigerant disappears after each refill,ac
The windscreen demister is not effective,ac
My AC blows warm air on the passenger side,ac
There is a rattling sound when I switch on cooling,ac
Please inspect the evaporator drain,ac
The cooling cuts out after ten minutes,ac
My air conditioning fan is very noisy,ac
Can a blocked filter reduce cabin cooling,ac
I need the AC serviced before summer,ac
The vent temperature changes by itself,ac
Water drips from the dashboard when AC runs,ac
The condenser may have been damaged by a stone,ac
My AC works only on the highest setting,ac
There is no airflow from the windscreen vents,ac
Can you recharge the system and check for leaks,ac
The cabin stays humid with the AC on,ac
My AC compressor vibrates loudly,ac
The rear vents are not producing cold air,ac
The blower motor has stopped completely,ac
Please diagnose the climate control warning,ac
The car AC stopped after a battery replacement,ac
The air gets warm whenever I stop at lights,ac
I smell chemicals when the air conditioner starts,ac
Can you check the AC pressure,ac
The cabin filter is covered in dirt,ac
My windows fog despite using demist,ac
The compressor cycles on and off too often,ac
The AC drain seems blocked,ac
The cooling is weak after a refrigerant refill,ac
My climate buttons illuminate but do nothing,ac
There is oil near the AC compressor,ac
The air conditioner makes a buzzing sound,ac
I need the AC condenser inspected,ac
The vents blow air but it is not cold,ac
My car smells mouldy after using the AC,ac
The AC cuts out when the engine is hot,ac
Please repair the cabin blower,ac
The air conditioning does not reach the selected temperature,ac
My car needs an oil and filter service,oil_change
The oil service reminder is showing,oil_change
What engine oil grade suits my car,oil_change
My dipstick level is below minimum,oil_change
The engine leaves oil spots on the driveway,oil_change
Can you change the oil before my road trip,oil_change
The oil warning light appeared at idle,oil_change
My oil looks thick and dirty,oil_change
How often should I replace the oil filter,oil_change
The vehicle is using oil between services,oil_change
Please check for a sump leak,oil_change
Can synthetic oil be used in my engine,oil_change
The oil level is above the maximum mark,oil_change
I cannot remember my last oil change,oil_change
The engine sounds noisy with low oil,oil_change
Can you reset the service indicator,oil_change
My car needs its first oil service,oil_change
There is oil around the filter housing,oil_change
The oil smells strongly of fuel,oil_change
I need an oil service for my diesel van,oil_change
The oil pressure light came on while driving,oil_change
Please inspect the rocker cover for leaks,oil_change
The engine oil becomes black very quickly,oil_change
How much oil does this engine take,oil_change
Can you provide a mobile oil change,oil_change
My vehicle is overdue for maintenance oil,oil_change
The oil drain plug is dripping,oil_change
I put too much oil in the engine,oil_change
The oil cap has creamy residue underneath,oil_change
My car uses a litre of oil every month,oil_change
Please check the oil pump pressure,oil_change
The maintenance message returned after an oil change,oil_change
I want the old oil replaced before storage,oil_change
Can you service a turbocharged engine with the right oil,oil_change
The oil warning disappears when I rev the engine,oil_change
There are metal flakes on the dipstick,oil_change
I need an oil top up and leak check,oil_change
The engine taps before the oil warms up,oil_change
What oil is best for a high mileage vehicle,oil_change
Please update my service record after changing oil,oil_change
The oil filter may be blocked,oil_change
My engine oil is contaminated,oil_change
Can you change oil on a hybrid car,oil_change
The car has reached its recommended oil mileage,oil_change
There is fresh oil near the sump,oil_change
How long does an oil service appointment take,oil_change
I need an oil pressure sensor checked,oil_change
The engine has an oil leak near the front,oil_change
Please dispose of the old oil responsibly,oil_change
My oil light flashes when I brake,oil_change
Can you recommend an oil service interval,oil_change
The vehicle needs an oil change and inspection,oil_change
My engine oil smells burnt,oil_change
I would like a full oil filter replacement,oil_change
The oil level drops after every long journey,oil_change
Please check whether the oil pan is damaged,oil_change
I need my work car serviced with fresh oil,oil_change
The car wash should include the interior,car_wash
Can you clean my vehicle after a muddy trip,car_wash
I need the outside washed today,car_wash
Please vacuum the cabin and boot,car_wash
Do you offer mobile detailing at home,car_wash
My seats have coffee stains,car_wash
Can you remove bird droppings from the bonnet,car_wash
I want the wheels cleaned thoroughly,car_wash
Please shampoo the floor carpets,car_wash
Do you wash large SUVs,car_wash
My car has road salt on the paint,car_wash
Can you polish the body after washing,car_wash
I need the windows cleaned inside and out,car_wash
Please remove pet hair from the back seat,car_wash
Do you offer a premium valet,car_wash
The dashboard is dusty and needs cleaning,car_wash
Can you remove tar from the lower panels,car_wash
I want the exterior waxed,car_wash
Please clean the wheel arches,car_wash
My car smells of smoke inside,car_wash
Do you clean leather seats,car_wash
Can you remove tree sap from the roof,car_wash
I need a quick wash during lunch,car_wash
Please clean my car before a wedding,car_wash
Do you provide waterless washing,car_wash
My white car has grime along the doors,car_wash
Can you clean the engine bay,car_wash
I need the mats washed and dried,car_wash
Please remove stains from the upholstery,car_wash
Do you offer monthly wash packages,car_wash
My vehicle is dusty after a long drive,car_wash
Can you wash matte paint safely,car_wash
I need a pre-sale detailing service,car_wash
Please clean the mirrors and headlights,car_wash
Do you remove water spots from paint,car_wash
My boot carpet needs deep cleaning,car_wash
Can you deodorise the cabin,car_wash
Please clean the door jambs,car_wash
Do you provide hand washing for delicate paint,car_wash
My car has sand throughout the interior,car_wash
Can you clean under the seats,car_wash
I need the roof lining refreshed,car_wash
Please remove grease marks from the body,car_wash
Do you clean child seat stains,car_wash
My floor mats are muddy,car_wash
Can you wash the car without scratching it,car_wash
I want a full interior valet,car_wash
Please clean the vents and cup holders,car_wash
Do you offer paint protection after a wash,car_wash
My vehicle needs a deep clean after camping,car_wash
Can you polish the chrome trim,car_wash
I need a clean before returning a rental,car_wash
Please remove insects from the bumper,car_wash
Do you clean company fleet vehicles,car_wash
My car has pollen all over the exterior,car_wash
Can you clean the spare wheel compartment,car_wash
I want the tyres dressed after washing,car_wash
Please remove mildew from the mats,car_wash
Do you offer office car cleaning,car_wash
My seats need conditioning after cleaning,car_wash
Can you clean the inside of the windscreen,car_wash
I need an exterior rinse and dry,car_wash
Please remove fingerprints from the glass,car_wash
Do you clean fabric headrests,car_wash
My car needs a professional full valet,car_wash
Can you remove stains from the boot lining,car_wash
Please clean a very dirty family vehicle,car_wash
The check engine light has appeared again,engine_problem
My engine loses power under acceleration,engine_problem
The car misfires when it is cold,engine_problem
I hear tapping from the engine bay,engine_problem
The vehicle stalls at traffic lights,engine_problem
Black smoke is coming from the exhaust,engine_problem
Can you scan the engine for fault codes,engine_problem
My car hesitates when I press the throttle,engine_problem
The engine warning is flashing,engine_problem
There is a fuel smell after starting,engine_problem
My engine runs rough after warming up,engine_problem
The exhaust has become unusually loud,engine_problem
I hear a rattle during acceleration,engine_problem
The vehicle struggles on hills,engine_problem
Blue smoke is coming from the exhaust,engine_problem
The engine cuts out while driving,engine_problem
My fuel consumption has increased suddenly,engine_problem
The car vibrates heavily at idle,engine_problem
Can you test the ignition system,engine_problem
My engine takes several attempts to start,engine_problem
The vehicle jerks when I accelerate,engine_problem
I smell burning oil under the bonnet,engine_problem
The engine idle speed keeps changing,engine_problem
There is a popping sound from the intake,engine_problem
My car has reduced power mode,engine_problem
The exhaust produces thick white smoke,engine_problem
Can a bad sensor cause the engine warning,engine_problem
The engine makes a whining noise at speed,engine_problem
My vehicle stalls after starting,engine_problem
Please investigate this loss of power,engine_problem
The car shakes when selecting reverse,engine_problem
My engine knocks when climbing hills,engine_problem
There is oil around the spark plug area,engine_problem
The car is hard to start when warm,engine_problem
I hear a clatter for a few seconds at startup,engine_problem
The engine runs unevenly after rain,engine_problem
Can you check the fuel pressure,engine_problem
The warning light comes and goes,engine_problem
My car sputters at steady speed,engine_problem
There is a burning smell from the engine compartment,engine_problem
The engine revs fluctuate while parked,engine_problem
My vehicle has almost no acceleration,engine_problem
Can you test the engine compression,engine_problem
The exhaust fumes smell strong inside the cabin,engine_problem
My engine starts and dies immediately,engine_problem
The car makes a metallic sound when hot,engine_problem
Please inspect the throttle system,engine_problem
The engine warning appeared after refuelling,engine_problem
My vehicle is using too much fuel,engine_problem
There is a hissing noise under the bonnet,engine_problem
Can a dirty injector cause this rough running,engine_problem
The engine loses power after half an hour,engine_problem
I hear a high pitched engine whine,engine_problem
My car shakes above motorway speed,engine_problem
The exhaust makes a loud bang,engine_problem
The engine is noisy when cold,engine_problem
Please diagnose the strange engine sound,engine_problem
My vehicle cuts out when I release the throttle,engine_problem
Can a faulty spark plug cause these misfires,engine_problem
The engine shakes when I switch on accessories,engine_problem
My car is difficult to start every morning,engine_problem
There is smoke near the exhaust manifold,engine_problem
The vehicle refuses to accelerate past a low speed,engine_problem
I need an urgent engine inspection,engine_problem
My engine surges while cruising,engine_problem
The check engine message stays on,engine_problem
Can you inspect the timing system,engine_problem
The engine makes a deep knock at idle,engine_problem
My car loses power on steep roads,engine_problem
The engine runs rough after a service,engine_problem
Please diagnose this persistent misfire,engine_problem
I need an engine check before buying a car,engine_problem
My engine sounds louder than normal,engine_problem
The battery warning appears with my engine fault,engine_problem
